First-Class Mail - Commercial,,,,Final,,12/9/2020,
,,,,
Letters and Postcards,,,,,
,Automation,,,Machinable,Nonmachinable
Weight Not Over (ounces),5-Digit,AADC,Mixed AADC,Presorted,Presorted
1,0.398,0.428,0.450,0.460,0.660
2,0.398,0.428,0.450,0.460,0.660
3,0.398,0.428,0.450,0.460,0.660
3.5,0.398,0.428,0.450,0.460,0.660
,,,,,
Postcard,0.269,0.279,0.285,0.293,-
,Nonmachinable Surcharge,,,0.200,
,
,,,,,
,,,,,
Residual Single-Piece Letters,,,,,
Weight Not Over (ounces),,,,,
1,0.56,,,,
2,0.56,,,,
3,0.56,,,,
3.5,0.56,,,,
Share Mail Letters and Postcards (formerly Alternate Postage)
Weight Not Over (ounces),Share Mail Letters,Share Mail Postcards,
1,0.51,0.36
